"sample","subtype","cor_luminal","cor_basal"
"R1_N_1","Basal",-0.1988,0.0755
"R1_N_2","Basal",-0.2119,0.0856
"R1_N_3","Basal",-0.2085,0.0845
"R1_R_1","Basal",-0.5724,0.5133
"R1_R_2","Basal",-0.5579,0.5077
"R1_R_3","Basal",-0.5681,0.5021
"R1_U_1","Basal",-0.3298,0.2145
"R1_U_2","Basal",-0.334,0.2025
"R1_U_3","Basal",-0.3363,0.223
"U1_R_1","Basal",-0.1676,0.1067
"U1_R_2","Basal",-0.1164,0.0606
"U1_R_3","Basal",-0.154,0.097
"U1_U_1","Luminal",0.1505,-0.2456
"U1_U_2","Luminal",0.1659,-0.2579
"U1_U_3","Luminal",0.1495,-0.2368
"U4_R_1","Basal",-0.2363,0.1854
"U4_R_2","Basal",-0.2169,0.171
"U4_R_3","Basal",-0.2286,0.1803
"U4_U_1","Luminal",0.0224,-0.109
"U4_U_2","Luminal",0.0457,-0.1193
"U4_U_3","Luminal",0.0508,-0.1249
"U6_R_1","Luminal",0.3715,-0.4542
"U6_R_2","Luminal",0.377,-0.4618
"U6_R_3","Luminal",0.3904,-0.4801
"U6_U_1","Luminal",0.43,-0.5207
"U6_U_2","Luminal",0.4483,-0.5337
"U6_U_3","Luminal",0.4475,-0.5313
