baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000130600.18	4694.53190992924	-3.79444016990422	0.0707535061125068	0	0	H19	processed_transcript
ENSG00000106366.8	20097.8204013199	1.46174525762457	0.0424449631822445	2.9292793718022e-261	1.89377911387012e-257	SERPINE1	protein_coding
ENSG00000003137.8	1570.68769061762	2.0888525412051	0.0763208858767114	7.64903340718942e-166	3.29673339849864e-162	CYP26B1	protein_coding
ENSG00000164171.10	2945.98721022528	1.17667822266871	0.0632988742970902	5.07111873292028e-78	1.63923913041648e-74	ITGA2	protein_coding
ENSG00000013588.7	9070.19708966716	1.20620713048449	0.0673344413457365	2.63159308387681e-72	6.80529971490543e-69	GPRC5A	protein_coding
ENSG00000173706.12	6990.11214235086	1.18062659453049	0.068708752817022	1.57827111206641e-66	3.33892332283963e-63	HEG1	protein_coding
ENSG00000133112.16	2273.19588334876	-1.1957268746405	0.0701132280048806	1.80761510130529e-66	3.33892332283963e-63	TPT1	protein_coding
ENSG00000148677.6	1631.82118588971	1.76923246234379	0.112218461818705	5.15097799285771e-58	8.32526818095628e-55	ANKRD1	protein_coding
ENSG00000105976.14	5468.32711075691	0.772579754784608	0.0491031827526451	1.1051369274064e-56	1.58771338570719e-53	MET	protein_coding
ENSG00000087095.12	421.253560305629	2.92070326224054	0.188629802765604	1.44734077449234e-54	1.87141162141859e-51	NLK	protein_coding
ENSG00000137801.10	4216.31575828335	1.16776164167866	0.0794075066152529	1.09923426166334e-49	1.29209990939155e-46	THBS1	protein_coding
ENSG00000196705.8	705.793558546615	-1.89638525678514	0.133510914226506	5.7079052138073e-47	6.15026786787736e-44	ZNF431	protein_coding
ENSG00000146674.14	27824.8722956682	-0.654114160303281	0.0460082656558034	1.60946793591054e-46	1.60080157010179e-43	IGFBP3	protein_coding
ENSG00000100345.21	8597.73641271133	0.737946423570167	0.0530447607457095	1.24044766587634e-44	1.14564202284151e-41	MYH9	protein_coding
ENSG00000091986.15	6126.04822180561	-1.06995399089995	0.0777029061133729	9.11572265171832e-44	7.85775292578119e-41	CCDC80	protein_coding
ENSG00000242265.5	1231.07197558988	1.32987224321066	0.0981257761700042	2.503003680811e-43	2.02273984955539e-40	PEG10	protein_coding
ENSG00000173391.8	2408.47047199245	0.841398591104534	0.0645543548844203	6.70802199751704e-40	5.1020426134056e-37	OLR1	protein_coding
ENSG00000115414.18	122246.225898377	0.827954178486055	0.062483544682585	9.41558817442253e-40	6.65975209127784e-37	FN1	protein_coding
ENSG00000141068.14	396.728467086554	1.93584178104433	0.148652411302641	9.7861786337416e-40	6.65975209127784e-37	KSR1	protein_coding
ENSG00000092820.17	7558.75718849776	0.586033939651279	0.046143419658232	5.81494608201492e-38	3.75936264202265e-35	EZR	protein_coding
ENSG00000203857.9	2191.40915648651	0.893241994681743	0.0739493864814807	9.65678030700447e-35	5.94581758902704e-32	HSD3B1	protein_coding
ENSG00000155324.9	957.757471449493	1.26053049295621	0.109882792604981	1.83649941181702e-31	1.07936079067246e-28	GRAMD3	protein_coding
ENSG00000113407.13	5098.83467378177	-0.627755548148277	0.0548137142468507	2.92225191595974e-31	1.64281379449389e-28	TARS	protein_coding
ENSG00000145604.15	1716.82006615666	-0.952805541151793	0.0847708681522797	1.17436912139109e-30	6.32691364149447e-28	SKP2	protein_coding
ENSG00000128595.16	2003.68762318127	1.11146421048768	0.0987411096292223	4.46764958521581e-30	2.31066836547362e-27	CALU	protein_coding
ENSG00000169504.14	5623.48425707326	-0.655859364863119	0.0594306730291254	3.37045545495391e-29	1.676153424329e-26	CLIC4	protein_coding
ENSG00000120437.8	145.975108663623	-4.45699310545875	0.418545819291415	3.94988277322324e-29	1.89155497251024e-26	ACAT2	protein_coding
ENSG00000121039.9	571.211187451721	1.71870574229293	0.159078636028849	8.67592925409232e-29	4.00642018769335e-26	RDH10	protein_coding
ENSG00000206538.8	10397.7585932198	0.620550599107391	0.0565834407731702	1.10503273638386e-28	4.92692182118734e-26	VGLL3	protein_coding
ENSG00000198431.15	6012.80730608089	0.580012454380108	0.053669654378502	3.80715032746699e-28	1.64088179113827e-25	TXNRD1	protein_coding
ENSG00000111859.16	861.393731120388	1.77966133990192	0.170327831465444	1.53580895017242e-27	6.40580958894496e-25	NEDD9	protein_coding
ENSG00000275216.1	4233.24694051563	-1.06444523636193	0.0995769163427022	2.25097415117582e-27	9.09534242959481e-25	RP11-54H7.4	lincRNA
ENSG00000124795.14	5995.98542175153	-0.529439836596548	0.0500927288600389	7.43288041666424e-27	2.91233769052935e-24	DEK	protein_coding
ENSG00000026508.18	2234.10562889953	0.754638292354985	0.0719034264979649	9.55355733286647e-27	3.63316165629304e-24	CD44	protein_coding
ENSG00000152952.11	2437.41272271955	0.93297153565071	0.0899429811986821	6.15015871550535e-26	2.27204434832812e-23	PLOD2	protein_coding
ENSG00000120708.16	1004.58116200519	-1.67637150021701	0.164862797034302	3.27044479382535e-25	1.1746347551156e-22	TGFBI	protein_coding
ENSG00000197102.11	3649.17328400216	0.703660053033167	0.0697706008990935	1.29828265316972e-24	4.53697154202282e-22	DYNC1H1	protein_coding
ENSG00000147883.10	858.628485003414	1.1276756136128	0.114647121278794	9.58035954315676e-24	3.2598433919215e-21	CDKN2B	protein_coding
ENSG00000147065.16	1565.54197199859	0.968698119351882	0.0996036806125001	2.50219998251951e-23	8.29575532666085e-21	MSN	protein_coding
ENSG00000065150.18	2077.34800061916	-0.865051748436836	0.0896831296364219	2.72045540646118e-23	8.79387210138577e-21	IPO5	protein_coding
ENSG00000198910.13	943.571594155861	1.23311032856702	0.130682835839854	5.01323829871837e-22	1.58100417566899e-19	L1CAM	protein_coding
ENSG00000197081.12	1228.64812532298	0.848943611909101	0.0912924203476595	1.31694818582909e-21	4.05431905780241e-19	IGF2R	protein_coding
ENSG00000086062.12	1744.51144358183	0.801807051024308	0.0858557742644784	1.3710886019424e-21	4.12283154025935e-19	B4GALT1	protein_coding
ENSG00000181143.15	335.051876956362	1.84474752983573	0.201967466598503	4.29799526549342e-21	1.26302451779159e-18	MUC16	protein_coding
ENSG00000272398.5	1653.96402317046	1.48816313194364	0.166340204777231	5.22179003811133e-21	1.50039433761732e-18	CD24	protein_coding
ENSG00000117525.13	8893.80465530996	0.355368281694363	0.0385697245217074	8.76035234984263e-21	2.46242078007533e-18	F3	protein_coding
ENSG00000075420.12	1061.52337275293	0.979151622435395	0.10736405861863	9.88207081072428e-21	2.71862075707798e-18	FNDC3B	protein_coding
ENSG00000136167.13	1911.9084549417	-1.15544941936983	0.128119009801756	2.58603703448808e-20	6.96613726165226e-18	LCP1	protein_coding
ENSG00000137309.19	3029.04571227282	-0.656026473914261	0.0728820453924264	2.72251731543644e-20	7.18411201808023e-18	HMGA1	protein_coding
ENSG00000135048.13	2277.77730631453	0.754592663944905	0.0839132115956945	4.15245849963814e-20	1.07382576800642e-17	TMEM2	protein_coding
ENSG00000073756.11	229.664293305655	2.44453836108642	0.271398549247747	5.85086364554296e-20	1.48336601837001e-17	PTGS2	protein_coding
ENSG00000137962.12	5281.54238475323	0.550759580899938	0.0624412427231707	1.12059444465195e-19	2.78640118641341e-17	ARHGAP29	protein_coding
ENSG00000135298.13	52.1765433415325	3.91834055440238	0.456006373048882	3.90877829260111e-19	9.53594402327025e-17	ADGRB3	protein_coding
ENSG00000198959.11	2779.90406239895	-0.886320019732302	0.103447434408469	4.44459243725955e-19	1.06423296692159e-16	TGM2	protein_coding
