baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000117525.13	1933.1533039712	-3.37108840017066	0.0837773830514236	0	0	F3	protein_coding
ENSG00000265972.5	7291.67685297191	5.95070177052331	0.084651131010755	0	0	TXNIP	protein_coding
ENSG00000073737.16	1894.51779259067	-4.1597575811821	0.0999458804225843	0	0	DHRS9	protein_coding
ENSG00000109321.10	1409.87810853359	-4.87126940007826	0.118663509195959	0	0	AREG	protein_coding
ENSG00000151012.13	1662.93335796656	-3.88199808603094	0.0927178636191679	0	0	SLC7A11	protein_coding
ENSG00000176788.8	1571.91487423073	-3.51008732956552	0.0936417172453784	0	0	BASP1	protein_coding
ENSG00000082074.16	2173.01686916276	-3.735355179254	0.0859641084603339	0	0	FYB1	protein_coding
ENSG00000111799.20	4498.47824950306	-3.46643542397745	0.0878184051087474	0	0	COL12A1	protein_coding
ENSG00000104327.7	2046.38168514497	-6.4207317307692	0.136095366451926	0	0	CALB1	protein_coding
ENSG00000104419.14	1587.48750283243	-4.26563190570642	0.108406530768479	0	0	NDRG1	protein_coding
ENSG00000119125.16	1245.16752537679	-4.33208461429343	0.113558137309381	0	0	GDA	protein_coding
ENSG00000044574.7	48418.8795411054	-2.37363045296329	0.0600365170296262	0	0	HSPA5	protein_coding
ENSG00000168209.4	3788.29122355836	-3.79828111219561	0.0744148654592743	0	0	DDIT4	protein_coding
ENSG00000173269.13	6970.2531260883	-3.09932926817769	0.0615739892144406	0	0	MMRN2	protein_coding
ENSG00000196611.4	1648.330264106	4.01274104368809	0.0977163686157639	0	0	MMP1	protein_coding
ENSG00000134531.9	6895.28052098152	-2.43583173976417	0.0639452779731461	0	0	EMP1	protein_coding
ENSG00000186081.11	1676.304128699	-5.55495874102303	0.123752224435385	0	0	KRT5	protein_coding
ENSG00000175197.12	1239.68136589019	-4.50345002244694	0.118678456096239	0	0	DDIT3	protein_coding
ENSG00000182809.10	3253.85165709683	-3.47943140189581	0.0869949640271531	0	0	CRIP2	protein_coding
ENSG00000104055.15	1140.1928465754	-4.05966609517899	0.105682362798051	0	0	TGM5	protein_coding
ENSG00000051108.14	5346.34261150981	-3.36852480115656	0.0686082972313603	0	0	HERPUD1	protein_coding
ENSG00000103257.8	36012.3886182631	-2.86066583792911	0.0558748852600237	0	0	SLC7A5	protein_coding
ENSG00000125730.16	3986.48234038084	4.59113332637617	0.089574667911561	0	0	C3	protein_coding
ENSG00000130513.6	8916.89289808309	-3.38411649782066	0.0667724953042566	0	0	GDF15	protein_coding
ENSG00000086548.8	9290.48417852801	-5.72330495799653	0.0723917109980135	0	0	CEACAM6	protein_coding
ENSG00000101255.10	4187.286636458	-3.99862180522621	0.0779647723155583	0	0	TRIB3	protein_coding
ENSG00000178726.6	3644.75644285437	-2.99259259016578	0.0692400710574362	0	0	THBD	protein_coding
ENSG00000160179.18	2580.51448763509	-3.28366512783112	0.0739544942605199	0	0	ABCG1	protein_coding
ENSG00000146674.14	17849.8830443022	-2.18791041932211	0.058445366628447	1.33264114865471e-307	1.12681702090214e-304	IGFBP3	protein_coding
ENSG00000120875.8	4332.13908927309	-2.51903831394674	0.0678259511733206	7.58191566789087e-303	6.19720513641173e-300	DUSP4	protein_coding
