baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000189334.8	7498.78975131551	-2.3352162464589	0.0532399505029303	0	0	S100A14	protein_coding
ENSG00000185630.18	4147.55840530477	-3.14234498157864	0.0735017266383994	0	0	PBX1	protein_coding
ENSG00000143819.12	9536.17600891306	1.99832082860337	0.0486389786109839	0	0	EPHX1	protein_coding
ENSG00000143653.9	6757.81200566317	-3.35584194574612	0.0554276709992714	0	0	SCCPDH	protein_coding
ENSG00000001617.11	3632.63372684327	-3.13222822587649	0.0768054191075064	0	0	SEMA3F	protein_coding
ENSG00000114638.7	19553.0564917884	-2.32604811941733	0.0403486990484171	0	0	UPK1B	protein_coding
ENSG00000168743.12	2012.24802901655	-4.70451404457106	0.0999387748979341	0	0	NPNT	protein_coding
ENSG00000124766.6	3628.03186728622	-2.33745463466165	0.0621219949493711	0	0	SOX4	protein_coding
ENSG00000243566.6	10368.8122769392	-1.98565312901154	0.0518890287970149	0	0	UPK3B	protein_coding
ENSG00000105835.11	21502.8567239806	2.0407938899159	0.0518546314703677	0	0	NAMPT	protein_coding
ENSG00000106484.15	13289.2985982181	-2.71827016851596	0.052506240742966	0	0	MEST	protein_coding
ENSG00000104419.14	13978.4492096762	2.17983404790424	0.053119454787455	0	0	NDRG1	protein_coding
ENSG00000106853.18	16574.797617782	3.91891094091077	0.0536717513195255	0	0	PTGR1	protein_coding
ENSG00000148180.19	11761.5648989833	1.88099721933992	0.0444717078993854	0	0	GSN	protein_coding
ENSG00000187134.13	73133.1178745148	4.4010429909756	0.0515584623698781	0	0	AKR1C1	protein_coding
ENSG00000151632.17	112071.252294043	2.93813641847942	0.0577661585021805	0	0	AKR1C2	protein_coding
ENSG00000196139.13	58783.8995479904	3.59796873840301	0.0645806492201311	0	0	AKR1C3	protein_coding
ENSG00000148848.14	1163.95834646389	4.51445690895666	0.117687042752474	0	0	ADAM12	protein_coding
ENSG00000221968.8	3710.74847889892	2.58795422847398	0.0629784160323123	0	0	FADS3	protein_coding
ENSG00000167996.15	36967.5909721554	1.77260797929316	0.0384809389607544	0	0	FTH1	protein_coding
ENSG00000131620.17	2348.6320948229	3.82992248379482	0.0823664002817929	0	0	ANO1	protein_coding
ENSG00000134955.11	10880.3492855384	1.94987925765416	0.04940417928092	0	0	SLC37A2	protein_coding
ENSG00000185432.11	6617.18023672758	-3.52161390122352	0.0590673766404262	0	0	METTL7A	protein_coding
ENSG00000102804.14	11313.6473831985	2.15573613698796	0.0511506395102467	0	0	TSC22D1	protein_coding
ENSG00000178695.5	12099.4964869404	2.05919397890967	0.0461429810878575	0	0	KCTD12	protein_coding
ENSG00000140961.12	2445.05182664103	3.23562007983864	0.0798322362715627	0	0	OSGIN1	protein_coding
ENSG00000108448.21	7470.4610887353	3.17459315146825	0.0547749504768806	0	0	TRIM16L	protein_coding
ENSG00000108602.17	102582.638225939	6.33219623428209	0.0663640032712237	0	0	ALDH3A1	protein_coding
ENSG00000171903.16	3325.67087348243	2.45404204209187	0.0608184048151103	0	0	CYP4F11	protein_coding
ENSG00000169021.5	13816.7952429539	1.96923415482509	0.0491263000962739	0	0	UQCRFS1	protein_coding
ENSG00000166289.5	5462.56425995248	2.30661938299594	0.0516031776082235	0	0	PLEKHF1	protein_coding
ENSG00000105186.15	11191.4534263875	2.16030204173503	0.0437753762938148	0	0	ANKRD27	protein_coding
ENSG00000105699.16	17836.2293348692	1.8739580542371	0.0482386429920482	0	0	LSR	protein_coding
ENSG00000130203.9	1878.76889849705	5.24303447866738	0.112540361124618	0	0	APOE	protein_coding
ENSG00000171867.16	28344.1916871377	1.68347019499456	0.0404574078535302	0	0	PRNP	protein_coding
ENSG00000101384.12	11533.6622261621	1.62144185781422	0.0427667843929037	0	0	JAG1	protein_coding
ENSG00000178726.6	6167.34337404264	1.90214415549828	0.0500325352646304	0	0	THBD	protein_coding
ENSG00000176485.11	2947.11292867815	-2.40574328493241	0.0650560838799121	2.18695416410654e-300	1.39890249649836e-297	PLA2G16	protein_coding
ENSG00000175793.11	31901.7335821446	1.75046334736642	0.0474403900759602	4.42513476206384e-299	2.75799360670476e-296	SFN	protein_coding
ENSG00000099194.5	82138.2638111528	-1.97816102280065	0.0536433200429439	1.74097691830212e-298	1.05794814882924e-295	SCD	protein_coding
ENSG00000205420.10	12557.6750268632	-1.72221440576273	0.0468886710346997	4.06695605872902e-296	2.41110977852503e-293	KRT6A	protein_coding
ENSG00000186832.8	2214.29378549314	2.68792108251842	0.0741745459533536	1.18116573912185e-288	6.83585610019879e-286	KRT16	protein_coding
ENSG00000026508.18	25415.5171157298	1.86149116949259	0.0514353843469267	1.37088920225209e-287	7.74934973003293e-285	CD44	protein_coding
ENSG00000134013.15	4486.62298718732	2.83215707501036	0.0794493759374728	1.80557328570162e-279	9.97456133080666e-277	LOXL2	protein_coding
ENSG00000165272.15	6958.39268880952	2.63827409956574	0.0741018131677642	1.42918514452146e-278	7.71982295730737e-276	AQP3	protein_coding
ENSG00000185567.6	6644.89157082251	1.96567187673008	0.0555266602277021	2.39721696571204e-275	1.26672071272962e-272	AHNAK2	protein_coding
ENSG00000143153.12	5118.36604849435	1.7893017281462	0.050796196698777	1.34118696478349e-272	6.93621947936008e-270	ATP1B1	protein_coding
ENSG00000178150.9	1035.38397481339	4.64863652390926	0.132785898474553	8.72879228044437e-270	4.42022404084919e-267	ZNF114	protein_coding
ENSG00000005884.17	59753.4876695682	1.40102274149178	0.0399746713640006	1.83313523035464e-269	9.09347307025106e-267	ITGA3	protein_coding
ENSG00000171658.8	1186.16240689168	4.94852832866455	0.141442348207106	2.91976249690091e-269	1.41941334024341e-266	RP11-443P15.2	transcribed_unprocessed_pseudogene
ENSG00000089057.14	5064.27874803944	2.10043513805886	0.0601076015632679	2.02410668491986e-268	9.64705121379355e-266	SLC23A2	protein_coding
ENSG00000130309.10	21813.741855539	1.52047293026929	0.0435835115026103	2.41859167781623e-267	1.13055207524383e-264	GLT25D1	protein_coding
ENSG00000105185.11	6360.90737251771	1.88615278889661	0.0542384907699242	7.25363348796341e-266	3.32668055079107e-263	PDCD5	protein_coding
ENSG00000130311.10	9041.81733241124	1.6903774576308	0.0487990232894782	1.18600504064862e-263	5.33856009686036e-261	DDA1	protein_coding
